Chrom	Start	End	Group
chr19	18368098	18368147	Intermediate
chr19	17972951	17973000	Intermediate
chr19	46056289	46056338	Intermediate
chr20	30252463	30252512	Intermediate
chr21	32492542	32492591	Intermediate
chr19	39405989	39406038	Intermediate
chr19	49842594	49842643	Intermediate
chr21	40550380	40550429	Intermediate
chr19	44612141	44612190	Intermediate
chr19	36642575	36642624	Intermediate
chr19	7753894	7753943	Intermediate
chr19	49619709	49619729	Intermediate
chr19	39078380	39078429	Intermediate
chr20	57570474	57570523	Intermediate
chr19	47150994	47151043	Intermediate
chr19	1395513	1395562	Intermediate
chr19	972539	972588	Intermediate
chr19	12243015	12243064	Intermediate
chr19	6413690	6413739	Intermediate
chr19	56732810	56732859	Intermediate
chr20	60757270	60757319	Intermediate
chr19	42502689	42502738	Intermediate
chr20	48520265	48520314	Intermediate
chr19	12874089	12874138	Intermediate
chr19	49993905	49993954	Intermediate
chr19	51601784	51601833	Intermediate
chr19	45406815	45406864	Intermediate
chr19	53594675	53594724	Intermediate
chr19	47880182	47880231	Intermediate
chr19	12841665	12841714	Intermediate
chr19	1438366	1438415	Intermediate
chr19	994456	994505	Intermediate
chr19	47222937	47222986	Intermediate
chr19	1010113	1010162	Intermediate
chr21	38121887	38121936	Intermediate
chr19	41767542	41767591	Intermediate
chr19	40030107	40030156	Intermediate
chr19	58904510	58904552	Intermediate
chr20	43708422	43708471	Intermediate
chr19	39819030	39819075	Intermediate
chr19	541686	541735	Intermediate
chr19	56153743	56153792	Intermediate
chr19	53115735	53115784	Intermediate
chr19	55098855	55098904	Intermediate
chr21	44834827	44834876	Intermediate
chr20	43570955	43571004	Intermediate
chr19	2071058	2071107	Intermediate
chr19	10444542	10444591	Intermediate
chr19	39369460	39369509	Intermediate
chr19	44270765	44270814	Intermediate
chr19	2813369	2813418	Intermediate
chr20	55984150	55984199	Intermediate
chr21	35275812	35275861	Intermediate
chr19	49564578	49564627	Intermediate
chr20	35280383	35280432	Intermediate
chr20	44054532	44054581	Intermediate
chr20	57254229	57254278	Intermediate
chr19	1065127	1065170	Intermediate
chr20	25275567	25275616	Intermediate
chr19	8553667	8553716	Intermediate
chr19	1435336	1435385	Intermediate
chr20	55953369	55953418	Intermediate
chr19	52328985	52329034	Intermediate
chr19	13065076	13065125	Intermediate
chr19	3538117	3538166	Intermediate
chr20	31996050	31996099	Intermediate
chr19	33666426	33666475	Intermediate
chr19	51300967	51301016	Intermediate
chr19	50059806	50059807	Intermediate
chr19	10244199	10244248	Intermediate
chr19	38899584	38899633	Intermediate
chr20	61518827	61518876	Intermediate
chr19	19638552	19638579	Intermediate
chr19	4224746	4224795	Intermediate
chr19	15491328	15491354	Intermediate
chr19	55738327	55738376	Intermediate
chr20	2847261	2847310	Intermediate
chr19	13033519	13033568	Intermediate
chr19	36398386	36398435	Intermediate
chr19	51848445	51848494	Intermediate
chr20	40031892	40031941	Intermediate
