Chrom	Start	End	Group
chr19	60014	60661	chr6
chr19	60662	62424	chr6
chr19	64350	65036	chr6
chr19	65068	65395	chr6
chr19	65918	68409	chr6
chr19	69198	69857	chr17
chr19	70863	71154	chr17
chr19	77145	77524	chr6
chr19	77588	78125	chr6
chr19	78268	79225	chr6
chr19	93311	93622	chr2
chr19	93958	93980	chr2
chr19	94009	94981	chr2
chr19	98130	100500	chr2
chr19	102493	102701	chr2
chr19	102702	103474	chr2
chr19	103604	103649	chr2
chr19	103808	104054	chr2
chr19	104091	106020	chr2
chr19	106134	107868	chr2
chr19	108158	109116	chr2
chr19	110135	113423	chr2
chr19	128773	129859	chr2
chr19	129860	129938	chr2
chr19	129939	130912	chr2
chr19	145320	145788	chrX
chr19	145812	146456	chrX
chr19	152896	153284	chrX
chr19	153459	153640	chrX
chr19	156213	157289	chr2
chr19	157290	157378	chr2
chr19	158666	159353	chr2
chr19	160251	160377	chr2
chr19	160963	161008	chr2
chr19	164921	165223	chr2
chr19	173285	174053	chr8
chr19	174054	174453	chr8
chr19	174917	175384	chr8
chr19	176569	177432	chr8
chr19	180051	180735	chr8
chr19	180736	181425	chr8
chr19	181922	182765	chr8
chr19	183886	184717	chr8
chr19	184825	184949	chr8
chr19	185793	186688	chr8
chr19	186932	187588	chr8
chr19	189177	189403	chr10
chr19	189472	189767	chr5
chr19	189836	189872	chr5
chr19	191069	191362	chr5
chr19	193132	193293	chr7
chr19	193294	194115	chr7
chr19	194116	194525	chr7
chr19	194526	194629	chr7
chr19	194630	195029	chr7
chr19	195132	195453	chr7
chr19	195454	195513	chr7
chr19	195564	195703	chr7
chr19	195704	195825	chr7
chr19	195863	195923	chr18
chr19	195924	196133	chr7
chr19	196510	196968	chr7
chr19	204092	204669	chr6
chr19	224953	227090	chr1
chr19	227200	227488	chr1
chr19	228091	228209	chr1
chr19	228210	229224	chr1
chr19	229631	229714	chr5
chr19	230061	230207	chr5
chr19	231237	231385	chr5
chr19	233469	233549	chr5
chr19	239124	239321	chr5
chr19	277154	277310	chr7
chr19	279293	279464	chr7
chr19	279479	280325	chr8
chr19	281181	282313	chr10
chr19	282588	282834	chr10
chr19	287466	287769	chr10
chr19	287876	288180	chr10
chr19	290239	291596	chr10
chr19	293091	293344	chr10
chr19	295564	295904	chr10
chr19	303202	303541	chr1
chr19	305561	306818	chr10
chr19	307047	307588	chr10
chr19	308572	308934	chr10
chr19	311842	312064	chr10
chr19	312178	312299	chr10
chr19	313428	313732	chr10
chr19	325629	326073	chr10
chr19	326349	328151	chr10
chr19	334397	334577	chr10
chr19	336069	336192	chr10
chr19	341402	341463	chr10
chr19	344386	344934	chr10
chr19	361979	362495	chr10
chr19	367048	367428	chr10
chr19	371189	371390	chr10
chr19	372609	374529	chr10
chr19	375649	376616	chr10
chr19	376675	377073	chr5
