Chrom	Start	End	Name
chr19	41937222	41945843	NM_018035
chr19	41937222	41945481	NM_001167867
chr19	41937222	41945843	NM_001167869
chr19	41937222	41945481	NM_001167868
chr19	58694355	58724928	NM_016324
chr19	50321535	50340237	NM_030973
chr19	16771937	16799816	NM_024074
chr19	58694355	58724928	NM_133502
chr19	41937222	41945843	NM_001167870
chr19	58694355	58724928	NM_001278734
chr19	41937222	41945843	NM_001167871
chr19	33469497	33555824	NM_033103
chr19	58694355	58724928	NM_016325
chr19	41937222	41945843	NR_030765
chr19	8387467	8408146	NM_198471
chr19	5205518	5340814	NM_002850
chr19	5205518	5340814	NM_130855
chr19	5205518	5340814	NM_130853
chr19	3136029	3163767	NM_002068
chr19	1040101	1065570	NM_019112
chr19	5205518	5340814	NM_130854
chr19	2096867	2099583	NM_001039846
chr19	4183350	4224811	NM_133475
chr19	2096867	2099583	NM_001031735
chr19	3141573	3155173	NR_110670
chr19	9434447	9454521	NM_001202410
chr19	9434447	9454521	NM_001202409
chr19	11531271	11545980	NM_145045
chr19	9435370	9493293	NM_001202425
chr19	9434901	9454521	NM_001202412
chr19	9434447	9454521	NM_001202408
chr19	9434447	9454521	NM_001202407
chr19	9434447	9454521	NM_001202406
chr19	14676889	14682889	NM_004146
chr19	9434901	9493293	NM_001172650
chr19	9434447	9454521	NM_032497
chr19	10461203	10491248	NM_003331
chr19	12571997	12595632	NM_152601
chr19	15726028	15740447	NM_007253
chr19	9434447	9454521	NM_001202411
chr19	11531272	11545980	NM_001302454
chr19	11531272	11546603	NM_001302453
chr19	19903519	19932560	NM_001099269
chr19	21987750	22034870	NM_001256650
chr19	21987750	22034870	NM_001256649
chr19	21987750	22034870	NM_001256648
chr19	18794424	18893143	NM_015321
chr19	19903519	19932560	NM_001145404
chr19	21987750	22034870	NM_001256653
chr19	18794424	18893143	NM_001098482
chr19	21987750	22034870	NM_001256651
chr19	35645671	35660788	NM_144779
chr19	35645844	35660788	NM_001164605
chr19	35645624	35660788	NM_014164
chr19	35645671	35660788	NR_028406
chr19	38794199	38806606	NM_001145463
chr19	39833107	39875537	NM_018028
chr19	36672961	36705575	NM_152477
chr19	40885177	40896094	NM_144685
chr19	36672961	36705986	NM_001042474
chr19	38794199	38806606	NM_001039672
chr19	38794199	38806606	NM_001039673
chr19	38794199	38806445	NM_001039671
chr19	37742786	37756437	NR_110720
chr19	37742786	37756437	NR_110719
chr19	37742786	37754515	NR_110718
chr19	38794199	38806445	NM_001145462
chr19	38794199	38806445	NM_001145461
chr19	46112657	46146985	NM_001193269
chr19	47177572	47220384	NM_001079880
chr19	46112657	46142675	NR_034098
chr19	46112657	46142675	NM_012155
chr19	46112657	46148775	NM_001193268
chr19	48216600	48246391	NM_014601
chr19	47177572	47220384	NM_016457
chr19	47177572	47217577	NM_001079882
chr19	47177572	47220384	NM_001079881
chr19	42901299	43156507	NR_073180
chr19	44037339	44040284	NM_174945
chr19	42927906	43156507	NR_073179
chr19	51376688	51383823	NM_005551
chr19	51376688	51383823	NR_045762
chr19	55555691	55574585	NM_001145971
chr19	51376688	51383823	NM_001256080
chr19	55555691	55574585	NR_027382
chr19	55555691	55574585	NR_027381
chr19	55555691	55580914	NM_138412
chr19	56598728	56632742	NM_001002836
chr19	53471503	53496784	NR_003578
chr19	57663093	57678856	NM_001012729
chr19	51376688	51383823	NR_045763
chr19	51376688	51383823	NM_001002231
chr19	917341	921015	NM_032551
chr19	647525	663233	NM_194460
chr19	1815244	1848452	NM_020695
chr19	1941160	1981336	NM_001319
