Chrom	Start	End	Name
chr17	37399677	37400607	  Olfr98
chr18	77996305	78006519	  Haus1
chr19	5273920	5295455	  Sf3b2
chr17	48526209	48549145	  Nfya
chr19	48280514	48879995	  Sorcs3
chr18	33596672	33623683	  D0H4S114
chr17	86684506	86686518	  2010106C02Rik
chr17	33692651	33744709	  Myo1f
chr17	71368896	71476196	  Myom1
chr17	25023618	25029092	  Spsb3
chr19	53674885	53720321	  Smc3
chr17	23961706	23966076	  Tceb2
chr19	20857947	21028692	  Tmc1
chr19	7016344	7026383	  Bad
chr17	26389854	26422451	  Luc7l
chr18	82561887	82576169	  Galr1
chr18	57514386	57552373	  Prrc1
chr18	67365012	67367541	  Chmp1b
chr19	59047847	59150559	  4930506M07Rik
chr19	42126717	42128118	  4933411K16Rik
chr19	14522561	14672473	  Tle4
chr19	24994405	25036106	  Cbwd1
chr17	46819939	46841951	  Ppp2r5d
chr17	36093763	36106695	  Abcf1
chr18	37595274	37598308	  Pcdhb12
chr18	77694848	77803875	  Rnf165
chr18	60845616	60873043	  Ndst1
chr19	3913490	3923905	  Aldh3b1
chr17	57138879	57139441	  Pspn
chr17	32589667	32630265	  Cyp4f39
chr17	91260508	91266442	  4930480K15Rik
chr17	34341423	34353266	  Tap2
chr17	31194638	31254929	  Abcg1
chr19	8810328	8815114	  Wdr74
chr18	20189298	20218006	  Dsc2
chr19	32560258	32589860	  Minpp1
chr17	24580723	24592256	  E4f1
chr19	53674885	53720321	  Smc3
chr17	36093763	36106695	  Abcf1
chr18	38356347	38369416	  Pcdh1
chr17	35996597	36003831	  5530401N12Rik
chr18	37880207	38001524	  Pcdhgb4
chr17	48594225	48608011	  Unc5cl
chr17	56812647	56851192	  Ranbp3
chr19	53065672	53113032	  Xpnpep1
chr18	13130760	13151457	  Impact
chr17	47624998	47639236	  Taf8
chr17	15533209	15570545	  Fam120b
chr18	37800144	37803858	  Taf7
chr18	37979199	38001527	  Pcdhgc5
chr18	31739821	31769556	  Slc25a46
chr17	37436438	37437365	  Olfr101
chr17	17664686	17761453	  Lnpep
chr18	10725622	10812215	  Mib1
chr17	34865324	34880842	  C4b
chr19	3992751	3999512	  Tbx10
chr18	3266351	3299476	  Crem
chr19	4800924	4811634	  Rbm14
chr17	34335139	34338399	  Psmb8
chr17	25910720	25920277	  Narfl
chr17	45692664	45700118	  Nfkbie
chr18	13845521	14131242	  Zfp521
chr17	75578149	75792307	  Ltbp1
chr17	34092826	34103433	  Vps52
chr18	23573915	23762732	  Dtna
chr17	35960301	35969732	  Flot1
chr17	15636851	15654391	  Tbp
chr19	23377098	23522812	  Mamdc2
chr17	66428134	66450831	  Ndufv2
chr17	57129686	57135794	  Clpp
