Chrom	Start	End	Name
chr2	50296809	50365000	NR_040361
chr2	50296809	50433967	NR_040362
chr2	40596772	42653598	NM_053011
chr2	58567333	58792971	NM_001289660
chr2	92184181	92364666	NM_138755
chr2	92221561	92364666	NM_001109690
chr2	92185482	92364666	NM_001109691
chr2	150934518	151009398	NM_207204
chr2	3118387	3227809	NM_001081161
chr2	6539698	7396198	NM_001110231
chr2	4152862	4614043	NM_172475
chr2	6539698	7396000	NM_001110232
chr2	6193250	6321611	NR_040333
chr2	14604305	14987908	NM_023116
chr2	10372435	10595253	NM_177386
chr2	10472253	10511772	NR_030551
chr2	11471430	11553929	NM_001177758
chr2	10370450	10595253	NM_001198808
chr2	18842255	18998121	NM_008845
chr2	23068200	23114512	NM_001102436
chr2	23068200	23114512	NM_028793
chr2	30400475	30415748	NM_007760
chr2	29346809	29524790	NM_026896
chr2	26209123	26237399	NM_001302956
chr2	29346809	29478433	NM_029615
chr2	26209123	26237399	NM_153559
chr2	35621980	35730994	NM_001290641
chr2	34406850	34624958	NM_001290626
chr2	35558457	35730994	NM_001114125
chr2	38723373	38926461	NM_010264
chr2	34406850	34624958	NM_177345
chr2	35621980	35730994	NM_001114124
chr2	34406770	34624958	NM_001290625
chr2	35582839	35730994	NM_001290637
chr2	44983511	45113279	NM_015753
chr2	43748823	44387623	NM_153820
chr2	48949507	49317069	NM_029924
chr2	49245899	49317069	NM_001290656
chr2	44983511	45110277	NM_001289521
chr2	43748823	44387623	NM_001301832
chr2	43748823	44395953	NM_001301831
chr2	54436386	55117744	NM_173030
chr2	55437155	55595525	NM_008426
chr2	52428319	52676609	NM_001037099
chr2	52428319	52558611	NM_001285427
chr2	52428319	52558611	NM_146123
chr2	52428319	52675859	NM_001285428
chr2	52428319	52676143	NM_001285426
chr2	62702945	63184287	NM_133207
chr2	60751952	60881438	NM_001141932
chr2	60751952	60881438	NM_001141931
chr2	64912481	65022766	NM_016719
chr2	59612041	59846213	NM_198294
chr2	59646768	59846213	NM_001290659
chr2	60751952	60963204	NM_020296
chr2	72285700	72389839	NM_178084
chr2	70039125	70429195	NM_177376
chr2	69193894	69206190	NM_025565
chr2	72285636	72442610	NM_023057
chr2	72285700	72407501	NM_001164791
chr2	69193894	69206190	NM_001199124
chr2	69193894	69206190	NM_001199123
chr2	71274294	71367554	NM_172436
chr2	76406507	76600647	NM_001290733
chr2	76406507	76600647	NM_145525
chr2	76406507	76600647	NM_001290734
chr2	77410626	77816816	NM_178723
chr2	77410626	77703272	NM_001113399
chr2	85979311	85984798	NM_146588
chr2	91211581	91237066	NM_028119
chr2	94300765	94406689	NM_183106
chr2	97467656	97631664	NM_178725
chr2	93201759	93334487	NM_183180
