Chrom	Start	End	Group	Strand
19	261033	327323	AMR	+
19	865406	1175396	AMR	+
19	1364306	1642507	AMR	+
19	1882762	1973732	AMR	+
19	2491586	2728577	AMR	+
19	2906475	2997897	AMR	+
19	3112023	3252863	AMR	+
19	3446107	3660619	AMR	+
19	3762498	3877749	AMR	+
19	4256919	4417845	AMR	+
19	4755178	5178677	UNDEF	+
19	5254970	5422553	UNDEF	+
19	5545034	6147191	UNDEF	+
19	6238183	6404507	UNDEF	+
19	6564402	6766213	UNDEF	+
19	6788979	7083761	UNDEF	+
19	7184801	7503745	UNDEF	+
19	7549281	7723461	UNDEF	+
19	7793502	8182620	UNDEF	+
19	8240413	8633943	UNDEF	+
19	8956971	9534967	UNDEF	+
19	9692557	10008241	UNDEF	+
19	10109179	11083210	UNDEF	+
19	11230881	11820517	UNDEF	+
19	11891003	13017876	UNDEF	+
19	13157540	13483914	AMR	+
19	13521528	13891841	AMR	+
19	14416651	14857891	AMR	+
19	14914914	15297576	AMR	+
19	15514660	16089378	AMR	+
19	16143944	16855265	AMR	+
19	17030593	17459425	AMR	+
19	17762890	17762890	UNDEF	+
19	18126206	18834124	UNDEF	+
19	18964510	20249983	AMR	+
19	20426003	21964257	AMR	+
19	22055853	33104472	AMR	+
19	33125055	34232172	AMR	+
19	34245941	34851509	AMR	+
19	35063442	35555190	AMR	+
19	35635897	36075253	AMR	+
19	36079936	37016325	AMR	+
19	37038092	37582204	AMR	+
19	37717357	38427097	AMR	+
19	38475086	38848796	AMR	+
19	38903099	39283767	AMR	+
19	39447119	40245690	AMR	+
19	40272816	40450048	AMR	+
19	40626283	41086014	AMR	+
19	41200511	43203507	AMR	+
19	43954915	44589716	AMR	+
19	44614208	45562871	AMR	+
19	45636201	46071424	AMR	+
19	46374557	47194254	AMR	+
19	47412622	48600091	AMR	+
19	48659691	49501182	UNDEF	+
19	49572547	49922996	YRI	+
19	49955016	50177171	YRI	+
19	50336839	50740074	YRI	+
19	50882619	51485194	YRI	+
19	51546642	52030448	UNDEF	+
19	52058861	52589332	AMR	+
19	52621644	53174436	AMR	+
19	53284135	53920991	AMR	+
19	53958126	54252037	AMR	+
19	54421851	55081592	AMR	+
19	55138581	55578380	AMR	+
19	55632393	55807586	AMR	+
19	55913678	56099884	AMR	+
19	56231144	56421861	AMR	+
19	56424532	56698547	AMR	+
19	56750359	57318674	AMR	+
19	57375063	57755055	AMR	+
19	57822369	58081868	AMR	+
19	58116143	58376008	AMR	+
19	58436020	58721952	AMR	+
19	58750326	58866434	AMR	+
19	58918800	58986260	AMR	+
20	121976	289362	AMR	+
20	333064	598278	AMR	+
20	617808	763968	AMR	+
20	785108	864512	AMR	+
20	890278	1162615	AMR	+
20	1313762	1825944	AMR	+
20	1870755	2231084	AMR	+
20	2275976	2661658	AMR	+
20	2693625	3391191	AMR	+
20	3555565	3854982	AMR	+
20	3993354	4299309	AMR	+
20	4307245	4583833	AMR	+
20	4611746	4818940	AMR	+
20	4826657	5098391	AMR	+
20	5174039	5379548	UNDEF	+
20	5408603	5628100	CEU	+
20	5649902	5843812	CEU	+
20	5864948	6582843	CEU	+
20	6593582	6799833	CEU	+
20	6853448	7235209	CEU	+
20	7252352	7965042	CEU	+
20	8012880	8590519	CEU	+
20	8626903	9127494	CEU	+
20	9222551	9653962	UNDEF	+
20	9708593	10050828	UNDEF	+
20	10061632	10345462	UNDEF	+
20	10450606	11026093	CEU	+
20	11057774	11573224	CEU	+
20	11599971	12272848	CEU	+
20	12339384	12764074	CEU	+
20	12804159	13190365	CEU	+
20	13224651	14817185	UNDEF	+
20	14849853	15317978	UNDEF	+
20	15331007	15602333	UNDEF	+
20	15607678	15969603	AMR	+
20	15989936	16605771	AMR	+
20	16615735	17024107	AMR	+
20	17032139	17654446	AMR	+
20	17704732	17976036	AMR	+
20	18007846	18909558	AMR	+
20	18940872	19538116	AMR	+
20	19565693	19860135	AMR	+
20	19883823	20664674	AMR	+
20	20730674	22361396	AMR	+
20	22377581	23074375	AMR	+
20	23097621	23953831	AMR	+
20	24021265	24948737	AMR	+
20	25004071	30608046	AMR	+
20	30939505	31940540	AMR	+
20	32110788	35236601	AMR	+
20	35487159	36303045	AMR	+
20	36374135	37634704	AMR	+
20	37747737	38561681	AMR	+
20	38582665	39633603	AMR	+
20	39776046	40387411	AMR	+
20	40449927	40887805	AMR	+
20	40908076	41281104	AMR	+
20	41298433	41947428	AMR	+
20	41973190	42474659	AMR	+
20	42548816	43371978	AMR	+
20	43378270	44277111	AMR	+
20	44296323	44584625	AMR	+
20	44666595	45154757	AMR	+
20	45181441	45809176	AMR	+
20	45913785	46274089	AMR	+
20	46288566	46837422	AMR	+
20	46847862	47801535	AMR	+
20	47913026	48574116	AMR	+
20	48766851	49103002	AMR	+
20	49258752	49472742	AMR	+
20	49604224	50076586	AMR	+
20	50093744	51027480	UNDEF	+
20	51098633	51328785	CEU	+
20	51361284	51834024	CEU	+
20	51843734	52193088	CEU	+
20	52352110	52844282	AMR	+
20	52903049	53482415	AMR	+
20	53558674	54009670	AMR	+
20	54054665	54540435	AMR	+
20	54615473	54835444	AMR	+
20	54872859	55402690	AMR	+
20	55437583	55684083	AMR	+
20	55690713	55932607	AMR	+
20	55996735	56449176	AMR	+
20	56489648	56620597	AMR	+
20	56645434	57355786	AMR	+
20	57381439	57584890	AMR	+
20	57597645	57811165	AMR	+
20	57855032	58399419	AMR	+
